epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28319,0.66667,0.44068,0.88967,0.88315,0.90233,0.93449,0.7876,0.66063,0.48542,0.87319,0.000462724,0.000462724,0.000462724
2,16.4644,0.56613,0.34044,0.85571,0.93668,0.95382,0.95683,0.81737,0.62637,0.35241,0.86355,0.00090187,0.00090187,0.00090187
3,24.6445,0.55803,0.3406,0.86098,0.94494,0.94733,0.96284,0.81935,0.59961,0.37123,0.85643,0.00130329,0.00130329,0.00130329
4,32.8375,0.57339,0.35327,0.85318,0.94255,0.96326,0.97107,0.83051,0.59213,0.37167,0.85413,0.00125923,0.00125923,0.00125923
5,41.1147,0.5671,0.35993,0.86102,0.91419,0.94957,0.96478,0.83081,0.5769,0.39399,0.84729,0.00120265,0.00120265,0.00120265
6,48.9836,0.55907,0.34944,0.85502,0.94326,0.97148,0.97739,0.8422,0.5765,0.35622,0.84357,0.00114606,0.00114606,0.00114606
7,57.1175,0.53874,0.33636,0.85351,0.94527,0.96416,0.96705,0.82938,0.59947,0.37002,0.85155,0.00108947,0.00108947,0.00108947
8,65.3549,0.53947,0.34128,0.84819,0.94105,0.9566,0.97038,0.84372,0.56431,0.34139,0.84183,0.00103288,0.00103288,0.00103288
9,73.8473,0.54002,0.34386,0.86094,0.93581,0.97373,0.972,0.84304,0.56824,0.34092,0.84211,0.000976293,0.000976293,0.000976293
10,82.2101,0.5228,0.32615,0.83861,0.94063,0.96909,0.97528,0.84782,0.57951,0.35966,0.84704,0.000919704,0.000919704,0.000919704
11,90.3559,0.51392,0.31732,0.84528,0.94632,0.96467,0.97256,0.84925,0.56355,0.35113,0.8452,0.000863116,0.000863116,0.000863116
12,98.1695,0.52873,0.33123,0.84597,0.95362,0.96248,0.9718,0.84525,0.57573,0.33202,0.84519,0.000806528,0.000806528,0.000806528
13,105.954,0.52079,0.31895,0.85015,0.94596,0.97665,0.97367,0.84742,0.56356,0.32819,0.84811,0.000749939,0.000749939,0.000749939
14,113.552,0.50873,0.32028,0.84938,0.94109,0.97702,0.97072,0.85484,0.54878,0.33819,0.84283,0.000693351,0.000693351,0.000693351
15,121.464,0.52569,0.31533,0.85386,0.94253,0.98441,0.97127,0.85154,0.54374,0.32108,0.8379,0.000636762,0.000636762,0.000636762
16,142.762,0.49449,0.28673,0.82216,0.9331,0.97227,0.97288,0.84237,0.55733,0.32942,0.84128,0.000580174,0.000580174,0.000580174
17,149.975,0.47242,0.27764,0.80494,0.93646,0.97662,0.97179,0.85122,0.54454,0.33534,0.83856,0.000523586,0.000523586,0.000523586
18,157.381,0.48158,0.27916,0.81279,0.93561,0.96996,0.97052,0.85462,0.52042,0.32588,0.83342,0.000466997,0.000466997,0.000466997
19,164.623,0.48065,0.27278,0.81693,0.93951,0.96595,0.97042,0.85724,0.53039,0.31931,0.83553,0.000410409,0.000410409,0.000410409
20,172.328,0.46391,0.2682,0.80535,0.93674,0.97625,0.97149,0.86087,0.52577,0.3166,0.83691,0.00035382,0.00035382,0.00035382
21,180.051,0.46154,0.26291,0.81397,0.95187,0.95484,0.97072,0.85977,0.51065,0.31168,0.83408,0.000297232,0.000297232,0.000297232
22,187.758,0.45926,0.26355,0.80818,0.92127,0.98212,0.96923,0.85811,0.51535,0.31424,0.83194,0.000240644,0.000240644,0.000240644
23,195.148,0.45628,0.26103,0.80657,0.94859,0.95284,0.96823,0.86146,0.51403,0.31286,0.83146,0.000184055,0.000184055,0.000184055
24,202.72,0.44686,0.25742,0.81088,0.93976,0.96384,0.9674,0.85936,0.51386,0.31503,0.8284,0.000127467,0.000127467,0.000127467
25,210.625,0.44404,0.25038,0.80408,0.94059,0.96426,0.96716,0.8629,0.51018,0.3085,0.8285,7.08784e-05,7.08784e-05,7.08784e-05
