epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0112,0.50416,0.31179,0.81575,0.95358,0.94727,0.9627,0.82172,0.63268,0.39038,0.87206,0.000462724,0.000462724,0.000462724
2,31.8112,0.47935,0.297,0.82261,0.93492,0.97096,0.96603,0.82376,0.61375,0.38085,0.86169,0.00084609,0.00084609,0.00084609
3,41.2825,0.5126,0.32433,0.8154,0.91783,0.94379,0.95428,0.81477,0.58473,0.41935,0.85983,0.00113514,0.00113514,0.00113514
4,50.4243,0.50942,0.33245,0.82218,0.94438,0.9633,0.96091,0.83146,0.5974,0.39996,0.85734,0.00100459,0.00100459,0.00100459
5,59.8899,0.49412,0.31909,0.81231,0.9433,0.96028,0.96289,0.83911,0.56771,0.39491,0.85723,0.000863116,0.000863116,0.000863116
6,69.5042,0.48499,0.31475,0.81115,0.95423,0.94948,0.96954,0.83167,0.58377,0.37289,0.85596,0.000721645,0.000721645,0.000721645
7,78.8056,0.49081,0.30991,0.82512,0.94564,0.98153,0.97684,0.84477,0.56336,0.34866,0.85459,0.000580174,0.000580174,0.000580174
8,88.3127,0.47242,0.29984,0.81665,0.94156,0.97127,0.97576,0.8647,0.52897,0.33741,0.84714,0.000438703,0.000438703,0.000438703
9,97.6798,0.47242,0.29499,0.80799,0.93909,0.96277,0.97737,0.86087,0.52975,0.33892,0.84473,0.000297232,0.000297232,0.000297232
10,106.992,0.48298,0.29721,0.82046,0.95391,0.94903,0.97866,0.86418,0.52775,0.32232,0.84388,0.000155761,0.000155761,0.000155761
