epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.46592,0.87643,0.52907,0.95988,0.86379,0.85395,0.89215,0.70404,0.84644,0.56866,0.92691,0.000462724,0.000462724,0.000462724
2,16.5383,0.80432,0.48682,0.92761,0.87967,0.88205,0.91174,0.73416,0.77501,0.50558,0.9061,0.00090187,0.00090187,0.00090187
3,24.3403,0.81611,0.5027,0.93645,0.9371,0.89701,0.93632,0.73915,0.79401,0.43965,0.89917,0.00130329,0.00130329,0.00130329
4,32.092,0.79851,0.49527,0.91492,0.91565,0.91392,0.94096,0.73381,0.78661,0.46096,0.91385,0.00125923,0.00125923,0.00125923
5,39.9383,0.82477,0.50217,0.93742,0.8952,0.91384,0.9438,0.7417,0.76476,0.43935,0.90455,0.00120265,0.00120265,0.00120265
6,47.7345,0.79761,0.49492,0.92661,0.92662,0.88217,0.94078,0.73379,0.8,0.47617,0.91674,0.00114606,0.00114606,0.00114606
7,55.2971,0.77486,0.48546,0.92162,0.92372,0.92601,0.9429,0.75437,0.75473,0.43813,0.8921,0.00108947,0.00108947,0.00108947
8,63.0976,0.76095,0.46103,0.91152,0.90778,0.8929,0.93921,0.75175,0.71875,0.4666,0.88816,0.00103288,0.00103288,0.00103288
9,71.0422,0.75242,0.4572,0.9209,0.93352,0.906,0.94949,0.76241,0.7181,0.41949,0.88912,0.000976293,0.000976293,0.000976293
10,78.7843,0.74292,0.44809,0.89958,0.92543,0.95238,0.9555,0.76455,0.73168,0.40745,0.89134,0.000919704,0.000919704,0.000919704
11,86.7888,0.73746,0.44152,0.90693,0.91754,0.93339,0.95088,0.76556,0.71285,0.40989,0.88566,0.000863116,0.000863116,0.000863116
12,94.5863,0.74902,0.45124,0.90983,0.9346,0.92641,0.94935,0.76142,0.72645,0.40904,0.88918,0.000806528,0.000806528,0.000806528
13,102.302,0.72865,0.44011,0.90977,0.91045,0.92179,0.95042,0.76414,0.72462,0.4552,0.88354,0.000749939,0.000749939,0.000749939
14,110.011,0.73617,0.43814,0.91249,0.89999,0.95082,0.95578,0.7695,0.69997,0.43817,0.88031,0.000693351,0.000693351,0.000693351
15,117.732,0.72123,0.42441,0.9092,0.92121,0.94527,0.9534,0.76895,0.73355,0.40439,0.88616,0.000636762,0.000636762,0.000636762
16,138.934,0.73009,0.40198,0.88388,0.92877,0.94794,0.95377,0.7572,0.73261,0.41122,0.88434,0.000580174,0.000580174,0.000580174
17,145.958,0.6896,0.39212,0.8634,0.92846,0.9494,0.9591,0.76072,0.73296,0.42845,0.88802,0.000523586,0.000523586,0.000523586
18,153.197,0.68206,0.39195,0.86719,0.94016,0.91446,0.95152,0.77172,0.70497,0.39983,0.88359,0.000466997,0.000466997,0.000466997
19,160.506,0.67202,0.37245,0.87035,0.9398,0.92203,0.94931,0.75995,0.70833,0.39679,0.88409,0.000410409,0.000410409,0.000410409
20,167.879,0.66685,0.37912,0.85848,0.94947,0.91153,0.95051,0.76293,0.71284,0.39488,0.88626,0.00035382,0.00035382,0.00035382
21,175.258,0.665,0.37578,0.86699,0.92345,0.93125,0.94855,0.7711,0.70061,0.37911,0.88267,0.000297232,0.000297232,0.000297232
22,182.765,0.65148,0.36094,0.85548,0.91422,0.93779,0.94693,0.77331,0.69548,0.40579,0.88256,0.000240644,0.000240644,0.000240644
23,190.219,0.6482,0.36515,0.86023,0.91344,0.9396,0.94762,0.76933,0.7018,0.40445,0.87984,0.000184055,0.000184055,0.000184055
24,197.484,0.6478,0.3623,0.86104,0.9322,0.923,0.94674,0.77502,0.69415,0.38165,0.87645,0.000127467,0.000127467,0.000127467
25,205.186,0.64998,0.34728,0.85771,0.94267,0.91456,0.94718,0.77824,0.68624,0.37869,0.87623,7.08784e-05,7.08784e-05,7.08784e-05
