epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49387,0.89224,0.62001,0.96092,0.87593,0.84697,0.93881,0.76188,0.74652,0.65467,0.88837,0.000462724,0.000462724,0.000462724
2,16.7538,0.67169,0.41883,0.88502,0.93788,0.939,0.96783,0.80719,0.66606,0.39852,0.86913,0.00090187,0.00090187,0.00090187
3,24.7624,0.6724,0.41697,0.89207,0.92987,0.95888,0.96622,0.79894,0.65902,0.4119,0.86252,0.00130329,0.00130329,0.00130329
4,32.6506,0.66743,0.41339,0.87519,0.94341,0.9398,0.96504,0.80693,0.63933,0.40271,0.85979,0.00125923,0.00125923,0.00125923
5,40.4489,0.64987,0.41812,0.87834,0.91014,0.92816,0.95906,0.80327,0.64915,0.44914,0.85797,0.00120265,0.00120265,0.00120265
6,47.98,0.64677,0.39822,0.87623,0.94165,0.94514,0.96411,0.7958,0.66134,0.38566,0.85882,0.00114606,0.00114606,0.00114606
7,55.5672,0.62569,0.38555,0.87252,0.93545,0.95069,0.96831,0.82066,0.61075,0.36986,0.84864,0.00108947,0.00108947,0.00108947
8,63.4909,0.60642,0.37418,0.86048,0.92741,0.96388,0.96402,0.8277,0.58788,0.35448,0.84523,0.00103288,0.00103288,0.00103288
9,71.7096,0.60104,0.37837,0.87337,0.95478,0.95088,0.96652,0.8366,0.58046,0.35211,0.8437,0.000976293,0.000976293,0.000976293
10,79.5558,0.58972,0.36477,0.85241,0.95311,0.94514,0.97309,0.84161,0.58585,0.35349,0.84396,0.000919704,0.000919704,0.000919704
11,87.9458,0.58092,0.35707,0.85993,0.94521,0.9588,0.96394,0.84052,0.59061,0.3547,0.8409,0.000863116,0.000863116,0.000863116
12,95.7751,0.59675,0.36535,0.86012,0.93658,0.96352,0.972,0.84604,0.5777,0.34649,0.84054,0.000806528,0.000806528,0.000806528
13,103.693,0.59049,0.35721,0.86387,0.93124,0.97121,0.97244,0.84709,0.58488,0.3511,0.8375,0.000749939,0.000749939,0.000749939
14,111.657,0.58015,0.35607,0.85956,0.95004,0.96977,0.97746,0.84635,0.5792,0.33749,0.83885,0.000693351,0.000693351,0.000693351
15,119.498,0.57928,0.3508,0.86534,0.94735,0.97499,0.96934,0.8478,0.56262,0.32156,0.83661,0.000636762,0.000636762,0.000636762
16,141.774,0.56545,0.34329,0.83656,0.93049,0.98212,0.96956,0.83705,0.58284,0.34451,0.84335,0.000580174,0.000580174,0.000580174
17,149.234,0.56001,0.33376,0.82442,0.92796,0.97392,0.97273,0.82941,0.60169,0.34589,0.84869,0.000523586,0.000523586,0.000523586
18,156.907,0.54747,0.31641,0.82923,0.93266,0.96723,0.9749,0.83533,0.58259,0.34136,0.84341,0.000466997,0.000466997,0.000466997
19,164.222,0.54148,0.31352,0.82749,0.93003,0.97411,0.97505,0.83966,0.58232,0.33359,0.8394,0.000410409,0.000410409,0.000410409
20,172.005,0.52902,0.30564,0.8155,0.92605,0.9859,0.97501,0.8515,0.56104,0.33217,0.83818,0.00035382,0.00035382,0.00035382
21,179.914,0.52228,0.3022,0.82632,0.92345,0.98424,0.97278,0.85635,0.55478,0.31983,0.83482,0.000297232,0.000297232,0.000297232
22,187.765,0.51726,0.30126,0.82027,0.94146,0.96054,0.97353,0.84851,0.56291,0.32113,0.83834,0.000240644,0.000240644,0.000240644
23,195.236,0.51104,0.29502,0.82011,0.94795,0.96055,0.97485,0.86134,0.54673,0.31746,0.8333,0.000184055,0.000184055,0.000184055
24,202.866,0.50711,0.28915,0.82201,0.93948,0.97233,0.97372,0.85629,0.53669,0.31449,0.83242,0.000127467,0.000127467,0.000127467
25,210.675,0.49499,0.27944,0.81451,0.95303,0.95155,0.97401,0.85702,0.53432,0.31353,0.83064,7.08784e-05,7.08784e-05,7.08784e-05
