epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8449,0.72601,0.4673,0.91402,0.92009,0.9228,0.94909,0.75921,0.77009,0.44828,0.91775,0.000462724,0.000462724,0.000462724
2,20.9584,0.58453,0.34625,0.86214,0.94112,0.94349,0.97199,0.79977,0.68597,0.37893,0.88646,0.000920464,0.000920464,0.000920464
3,30.8392,0.5845,0.35003,0.86673,0.9389,0.96664,0.97679,0.8192,0.62047,0.36373,0.86549,0.00135934,0.00135934,0.00135934
4,40.6541,0.60421,0.36835,0.86645,0.92609,0.95045,0.96518,0.82471,0.60183,0.38199,0.85739,0.00134412,0.00134412,0.00134412
5,50.6338,0.58441,0.37065,0.86687,0.94305,0.96442,0.96577,0.82671,0.59897,0.36268,0.8505,0.00131582,0.00131582,0.00131582
6,60.5964,0.58523,0.35483,0.86413,0.93001,0.96515,0.96297,0.82036,0.60718,0.36834,0.85773,0.00128753,0.00128753,0.00128753
7,70.2703,0.55567,0.34354,0.85748,0.94505,0.97126,0.96534,0.8314,0.59828,0.36055,0.85376,0.00125923,0.00125923,0.00125923
8,80.136,0.55707,0.33919,0.85275,0.92785,0.96875,0.97319,0.84911,0.5737,0.35434,0.85011,0.00123094,0.00123094,0.00123094
9,90.0745,0.54654,0.33937,0.86473,0.95622,0.93841,0.97295,0.83992,0.58068,0.34314,0.85105,0.00120265,0.00120265,0.00120265
10,99.6125,0.53913,0.33344,0.84423,0.94848,0.94787,0.9726,0.83066,0.58595,0.36259,0.8502,0.00117435,0.00117435,0.00117435
11,109.424,0.53961,0.33626,0.8522,0.92969,0.96195,0.9716,0.83786,0.57178,0.35994,0.84898,0.00114606,0.00114606,0.00114606
12,119.153,0.54702,0.3328,0.85184,0.94655,0.9677,0.97961,0.84663,0.58276,0.34252,0.85443,0.00111776,0.00111776,0.00111776
13,128.972,0.53433,0.32966,0.8534,0.93211,0.98332,0.97894,0.8541,0.57941,0.33094,0.8426,0.00108947,0.00108947,0.00108947
14,138.968,0.52368,0.32295,0.84768,0.95488,0.97637,0.97606,0.85792,0.54973,0.33024,0.83791,0.00106118,0.00106118,0.00106118
15,148.832,0.52742,0.3219,0.85418,0.93197,0.97772,0.97367,0.85502,0.5483,0.33228,0.84144,0.00103288,0.00103288,0.00103288
16,158.553,0.52825,0.31489,0.848,0.92994,0.98231,0.97783,0.8528,0.54404,0.31834,0.83936,0.00100459,0.00100459,0.00100459
17,168.229,0.51345,0.31726,0.85043,0.9236,0.98537,0.97099,0.84923,0.55838,0.33863,0.84146,0.000976293,0.000976293,0.000976293
18,177.901,0.50219,0.31108,0.84722,0.94072,0.96947,0.97485,0.8505,0.5485,0.33206,0.84087,0.000947999,0.000947999,0.000947999
19,187.779,0.51819,0.30987,0.84968,0.94236,0.9626,0.97931,0.87113,0.51688,0.32255,0.83129,0.000919704,0.000919704,0.000919704
20,197.63,0.50541,0.30902,0.84606,0.93974,0.95895,0.9741,0.86377,0.53433,0.33196,0.83881,0.00089141,0.00089141,0.00089141
21,207.342,0.50249,0.30806,0.84253,0.93285,0.97264,0.97534,0.86176,0.54136,0.32925,0.84091,0.000863116,0.000863116,0.000863116
22,217.122,0.49571,0.30039,0.85205,0.92714,0.98479,0.97106,0.85968,0.54794,0.33189,0.83932,0.000834822,0.000834822,0.000834822
23,226.812,0.49368,0.29626,0.84175,0.93475,0.98117,0.97805,0.86362,0.53132,0.32052,0.83558,0.000806528,0.000806528,0.000806528
24,236.622,0.49563,0.29828,0.8451,0.93725,0.98204,0.97563,0.86293,0.52675,0.31658,0.83553,0.000778233,0.000778233,0.000778233
25,246.278,0.49471,0.29748,0.84395,0.93629,0.98016,0.9718,0.85799,0.53156,0.32338,0.84139,0.000749939,0.000749939,0.000749939
26,256.039,0.49473,0.294,0.84489,0.94726,0.96636,0.97357,0.86284,0.53587,0.31415,0.83725,0.000721645,0.000721645,0.000721645
27,265.906,0.49349,0.29411,0.85122,0.94288,0.97818,0.97755,0.86839,0.5178,0.30793,0.83379,0.000693351,0.000693351,0.000693351
28,275.719,0.4888,0.29192,0.83935,0.9327,0.97165,0.97117,0.8611,0.5381,0.31792,0.83878,0.000665057,0.000665057,0.000665057
29,285.578,0.47286,0.2871,0.8389,0.92874,0.98358,0.97184,0.85867,0.52349,0.32334,0.83401,0.000636762,0.000636762,0.000636762
