epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1779,0.65412,0.47788,0.85349,0.7817,0.72549,0.8629,0.69257,0.76268,1.28133,0.89657,0.000462724,0.000462724,0.000462724
2,59.8794,0.62353,0.44043,0.85279,0.84467,0.88359,0.93819,0.77805,0.65748,0.6756,0.86061,0.00084609,0.00084609,0.00084609
3,70.3467,0.63758,0.45702,0.84966,0.91761,0.95335,0.97097,0.79551,0.67423,0.49116,0.86743,0.00113514,0.00113514,0.00113514
4,80.5592,0.61292,0.43988,0.84859,0.94425,0.94514,0.96552,0.81965,0.59638,0.43846,0.84765,0.00100459,0.00100459,0.00100459
5,90.6739,0.59964,0.41655,0.84089,0.9535,0.94615,0.96753,0.8197,0.59331,0.42616,0.85056,0.000863116,0.000863116,0.000863116
6,100.243,0.56441,0.40483,0.83135,0.94541,0.96606,0.96476,0.83522,0.56465,0.4044,0.84154,0.000721645,0.000721645,0.000721645
7,107.561,0.553,0.39358,0.83236,0.93344,0.97491,0.96777,0.83901,0.55507,0.38985,0.83974,0.000580174,0.000580174,0.000580174
8,115.219,0.52474,0.36982,0.82131,0.94237,0.97187,0.96907,0.84498,0.53734,0.35701,0.8395,0.000438703,0.000438703,0.000438703
9,125.16,0.51026,0.34544,0.82913,0.94138,0.98103,0.97295,0.85608,0.52088,0.35716,0.83337,0.000297232,0.000297232,0.000297232
10,135.396,0.4867,0.31954,0.81699,0.94417,0.98194,0.97256,0.85535,0.5055,0.35101,0.82986,0.000155761,0.000155761,0.000155761
