epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68468,0.55325,0.35598,0.86235,0.95178,0.9626,0.9619,0.84484,0.55613,0.35597,0.84506,0.000462724,0.000462724,0.000462724
2,19.3255,0.48098,0.30644,0.83806,0.94943,0.97741,0.9724,0.85696,0.55681,0.34105,0.84299,0.00090187,0.00090187,0.00090187
3,28.728,0.5027,0.31556,0.84727,0.94197,0.98212,0.97212,0.84409,0.57236,0.36077,0.84865,0.00130329,0.00130329,0.00130329
4,37.8842,0.51371,0.32641,0.84001,0.95796,0.95896,0.97215,0.84925,0.55416,0.3446,0.85075,0.00125923,0.00125923,0.00125923
5,46.9146,0.49614,0.33247,0.84101,0.94247,0.97523,0.96828,0.84623,0.55146,0.37816,0.84466,0.00120265,0.00120265,0.00120265
6,56.1109,0.51193,0.33409,0.84491,0.92798,0.98112,0.96371,0.83352,0.58615,0.37721,0.84776,0.00114606,0.00114606,0.00114606
7,65.2596,0.49565,0.31955,0.8435,0.93405,0.96991,0.97094,0.85171,0.54675,0.3494,0.84199,0.00108947,0.00108947,0.00108947
8,74.3261,0.48452,0.31352,0.83593,0.93981,0.97519,0.96988,0.85184,0.54043,0.35451,0.84282,0.00103288,0.00103288,0.00103288
9,83.4732,0.48111,0.31813,0.84971,0.95154,0.95608,0.97981,0.86069,0.52435,0.34762,0.83576,0.000976293,0.000976293,0.000976293
10,92.8834,0.46652,0.30331,0.83192,0.94581,0.97337,0.97949,0.86326,0.53601,0.33415,0.84107,0.000919704,0.000919704,0.000919704
11,102.154,0.47123,0.29965,0.83447,0.95378,0.966,0.97796,0.85846,0.5507,0.34279,0.84442,0.000863116,0.000863116,0.000863116
12,111.298,0.4826,0.30558,0.83963,0.94551,0.98191,0.97775,0.86744,0.51822,0.33623,0.83589,0.000806528,0.000806528,0.000806528
13,120.584,0.46818,0.30346,0.84267,0.94403,0.9781,0.96948,0.86203,0.53609,0.33386,0.83927,0.000749939,0.000749939,0.000749939
14,129.756,0.4626,0.29746,0.8409,0.94198,0.9717,0.97001,0.85973,0.51867,0.34426,0.8384,0.000693351,0.000693351,0.000693351
15,138.879,0.46745,0.30119,0.84644,0.93318,0.98257,0.97311,0.86613,0.50662,0.32552,0.8381,0.000636762,0.000636762,0.000636762
16,160.855,0.43172,0.26798,0.80694,0.95529,0.9683,0.97895,0.86489,0.51405,0.32006,0.83529,0.000580174,0.000580174,0.000580174
17,170.01,0.44463,0.26919,0.7983,0.93789,0.98636,0.98068,0.86796,0.52276,0.32375,0.83279,0.000523586,0.000523586,0.000523586
18,179.077,0.44817,0.26511,0.80676,0.94095,0.98134,0.97558,0.8638,0.52667,0.32432,0.83362,0.000466997,0.000466997,0.000466997
19,188.12,0.44039,0.26537,0.80663,0.94401,0.9689,0.96526,0.8608,0.53372,0.32521,0.83793,0.000410409,0.000410409,0.000410409
20,197.14,0.42521,0.25585,0.79586,0.95169,0.9659,0.97465,0.87449,0.50691,0.31864,0.83649,0.00035382,0.00035382,0.00035382
21,206.229,0.42214,0.25586,0.8062,0.93484,0.97816,0.97298,0.86284,0.5139,0.32469,0.83534,0.000297232,0.000297232,0.000297232
22,215.291,0.43311,0.25891,0.80353,0.9371,0.98386,0.9756,0.86703,0.5086,0.31847,0.83245,0.000240644,0.000240644,0.000240644
23,224.385,0.42559,0.25313,0.80298,0.94217,0.97119,0.97458,0.87362,0.50673,0.31292,0.83281,0.000184055,0.000184055,0.000184055
24,233.498,0.42046,0.24554,0.80623,0.94225,0.97392,0.97391,0.87348,0.50046,0.31673,0.83119,0.000127467,0.000127467,0.000127467
25,242.521,0.41918,0.2401,0.79955,0.94053,0.97792,0.97665,0.87376,0.49877,0.30957,0.83024,7.08784e-05,7.08784e-05,7.08784e-05
