epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54578,0.52028,0.32683,0.85372,0.9482,0.95606,0.97397,0.85156,0.5411,0.33384,0.84534,0.000462724,0.000462724,0.000462724
2,19.3433,0.46678,0.29578,0.83316,0.95533,0.97208,0.96849,0.84922,0.53666,0.33317,0.83725,0.000920464,0.000920464,0.000920464
3,28.8617,0.51081,0.32189,0.85072,0.94496,0.97246,0.9694,0.84235,0.56472,0.36628,0.83637,0.00135934,0.00135934,0.00135934
4,38.2905,0.53042,0.34459,0.84345,0.94706,0.95109,0.97789,0.83894,0.58192,0.38114,0.84973,0.00134412,0.00134412,0.00134412
5,47.8251,0.52938,0.34672,0.84997,0.93683,0.96153,0.97161,0.84506,0.54814,0.37157,0.83926,0.00131582,0.00131582,0.00131582
6,57.2442,0.53097,0.33412,0.84668,0.94673,0.95333,0.97016,0.84153,0.5699,0.36715,0.84483,0.00128753,0.00128753,0.00128753
7,66.544,0.52072,0.33144,0.84993,0.94694,0.97006,0.96958,0.85221,0.54908,0.35708,0.84318,0.00125923,0.00125923,0.00125923
8,76.1203,0.51235,0.3299,0.84218,0.94326,0.98181,0.97539,0.85542,0.54125,0.35008,0.83784,0.00123094,0.00123094,0.00123094
9,86.0034,0.50349,0.32631,0.85424,0.93883,0.97374,0.97672,0.8561,0.54809,0.34763,0.84227,0.00120265,0.00120265,0.00120265
10,95.4669,0.49146,0.31639,0.83658,0.94125,0.98017,0.97343,0.86026,0.55159,0.35296,0.8455,0.00117435,0.00117435,0.00117435
11,105.367,0.49499,0.31884,0.84171,0.94626,0.97647,0.96881,0.8557,0.55826,0.35223,0.84345,0.00114606,0.00114606,0.00114606
12,114.954,0.50539,0.32468,0.84372,0.93741,0.96636,0.9754,0.85617,0.54939,0.34451,0.84062,0.00111776,0.00111776,0.00111776
13,124.482,0.49887,0.31636,0.84725,0.94809,0.96233,0.97172,0.84233,0.57365,0.34994,0.84296,0.00108947,0.00108947,0.00108947
