epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18249,0.94209,0.77438,0.97392,0.48893,0.49856,0.56044,0.3517,1.6742,3.44487,1.33529,0.000462724,0.000462724,0.000462724
2,16.1782,0.71398,0.46706,0.89321,0.93819,0.94701,0.96837,0.81297,0.64541,0.41626,0.85991,0.00090187,0.00090187,0.00090187
3,23.8818,0.70847,0.4617,0.89764,0.93849,0.95707,0.96225,0.80325,0.64876,0.44492,0.86142,0.00130329,0.00130329,0.00130329
4,31.3511,0.68062,0.45439,0.88112,0.94616,0.96472,0.97526,0.82005,0.64089,0.40115,0.86329,0.00125923,0.00125923,0.00125923
5,39.2134,0.65206,0.44879,0.87963,0.94486,0.96109,0.96276,0.82001,0.60438,0.39124,0.85565,0.00120265,0.00120265,0.00120265
6,46.5115,0.64216,0.4469,0.881,0.94088,0.98233,0.96455,0.82615,0.60559,0.37757,0.85813,0.00114606,0.00114606,0.00114606
7,54.1644,0.62007,0.42209,0.87435,0.94519,0.97448,0.95975,0.82398,0.61383,0.38345,0.8564,0.00108947,0.00108947,0.00108947
8,61.8799,0.6162,0.41495,0.86484,0.95274,0.96906,0.9631,0.8197,0.59088,0.39173,0.84799,0.00103288,0.00103288,0.00103288
9,69.7492,0.61566,0.42308,0.87938,0.94657,0.96769,0.96687,0.83718,0.59069,0.37958,0.84986,0.000976293,0.000976293,0.000976293
10,77.3981,0.59156,0.39138,0.85652,0.94469,0.96636,0.97242,0.83846,0.58995,0.36599,0.84405,0.000919704,0.000919704,0.000919704
11,85.4346,0.59208,0.38461,0.86281,0.94545,0.97276,0.97069,0.84195,0.57432,0.36049,0.84853,0.000863116,0.000863116,0.000863116
12,93.1823,0.6028,0.38988,0.86523,0.93737,0.97668,0.97423,0.84671,0.54763,0.34755,0.84264,0.000806528,0.000806528,0.000806528
13,100.933,0.58048,0.38351,0.86566,0.95354,0.9588,0.97017,0.84482,0.57224,0.35555,0.84193,0.000749939,0.000749939,0.000749939
14,108.635,0.57599,0.37901,0.86197,0.95646,0.97087,0.97464,0.85574,0.54232,0.34623,0.83794,0.000693351,0.000693351,0.000693351
15,116.485,0.57578,0.37106,0.86694,0.94163,0.97691,0.97498,0.85,0.55247,0.33567,0.84087,0.000636762,0.000636762,0.000636762
16,137.765,0.54948,0.34681,0.83261,0.95666,0.96494,0.9734,0.84926,0.55117,0.33598,0.84066,0.000580174,0.000580174,0.000580174
17,145.016,0.52179,0.33228,0.81772,0.94077,0.96848,0.97685,0.84896,0.55803,0.34165,0.84454,0.000523586,0.000523586,0.000523586
18,152.42,0.52037,0.3191,0.82506,0.94134,0.97769,0.97581,0.85633,0.54358,0.33251,0.83829,0.000466997,0.000466997,0.000466997
19,159.876,0.51989,0.3257,0.82704,0.93587,0.98639,0.96894,0.84255,0.56068,0.3317,0.84096,0.000410409,0.000410409,0.000410409
20,167.466,0.50466,0.30859,0.81392,0.94165,0.97933,0.96809,0.84958,0.53868,0.33007,0.83965,0.00035382,0.00035382,0.00035382
21,175.028,0.5016,0.30962,0.82367,0.95701,0.9588,0.97112,0.86604,0.52774,0.32672,0.83535,0.000297232,0.000297232,0.000297232
22,182.855,0.5126,0.30477,0.81927,0.94395,0.96747,0.97004,0.85137,0.5525,0.33204,0.83662,0.000240644,0.000240644,0.000240644
23,190.396,0.49618,0.29928,0.81655,0.94498,0.96325,0.97058,0.85978,0.52367,0.32395,0.83184,0.000184055,0.000184055,0.000184055
24,197.839,0.48539,0.29397,0.81999,0.94991,0.9588,0.97148,0.86574,0.51406,0.31535,0.8304,0.000127467,0.000127467,0.000127467
25,205.468,0.47867,0.28758,0.8121,0.94984,0.96335,0.97053,0.86639,0.51146,0.31462,0.82974,7.08784e-05,7.08784e-05,7.08784e-05
