epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61153,0.58645,0.37535,0.86902,0.93448,0.9609,0.96597,0.82449,0.62072,0.37828,0.86368,0.000462724,0.000462724,0.000462724
2,19.4733,0.48515,0.31051,0.8372,0.95685,0.96315,0.97429,0.85553,0.56672,0.34598,0.84825,0.000920464,0.000920464,0.000920464
3,28.7225,0.49827,0.31656,0.84865,0.95415,0.9506,0.96891,0.83764,0.57335,0.36363,0.84926,0.00135934,0.00135934,0.00135934
4,37.5602,0.52344,0.33287,0.84034,0.94723,0.96036,0.97297,0.84463,0.55657,0.37022,0.8398,0.00134412,0.00134412,0.00134412
5,46.4852,0.52342,0.33211,0.84721,0.9499,0.95943,0.96127,0.84449,0.55695,0.35667,0.84114,0.00131582,0.00131582,0.00131582
6,54.9004,0.51934,0.33095,0.84717,0.93881,0.96699,0.96641,0.84388,0.55316,0.35879,0.84544,0.00128753,0.00128753,0.00128753
7,63.4448,0.51388,0.32612,0.84473,0.94139,0.96417,0.969,0.84554,0.5652,0.38292,0.8454,0.00125923,0.00125923,0.00125923
8,72.628,0.52862,0.33436,0.84351,0.94498,0.96909,0.97251,0.84924,0.55264,0.35797,0.84273,0.00123094,0.00123094,0.00123094
9,81.6976,0.53985,0.34006,0.85952,0.9496,0.96153,0.97343,0.84612,0.55547,0.345,0.84769,0.00120265,0.00120265,0.00120265
10,90.3243,0.50905,0.3223,0.83752,0.94118,0.97534,0.97983,0.86561,0.52807,0.33129,0.84161,0.00117435,0.00117435,0.00117435
11,99.6445,0.50175,0.31841,0.84435,0.94508,0.97826,0.97655,0.86388,0.54274,0.33974,0.84442,0.00114606,0.00114606,0.00114606
12,108.572,0.51641,0.32818,0.84302,0.93953,0.97646,0.97801,0.85542,0.55531,0.3414,0.84994,0.00111776,0.00111776,0.00111776
13,117.45,0.51161,0.32309,0.8482,0.94609,0.97698,0.97413,0.86329,0.5315,0.33196,0.8367,0.00108947,0.00108947,0.00108947
14,126.324,0.50841,0.3183,0.84605,0.95307,0.96309,0.97732,0.85786,0.5334,0.3301,0.8335,0.00106118,0.00106118,0.00106118
15,135.057,0.50654,0.31617,0.85065,0.94785,0.96909,0.97428,0.856,0.5554,0.3386,0.83936,0.00103288,0.00103288,0.00103288
16,143.898,0.50083,0.31289,0.844,0.94004,0.98247,0.97756,0.85488,0.54665,0.32672,0.83835,0.00100459,0.00100459,0.00100459
17,152.611,0.49057,0.30306,0.84244,0.95333,0.96263,0.97184,0.86347,0.51326,0.32103,0.83927,0.000976293,0.000976293,0.000976293
18,161.459,0.49038,0.30546,0.84049,0.94784,0.96794,0.96893,0.85562,0.52746,0.33516,0.84094,0.000947999,0.000947999,0.000947999
19,170.523,0.49211,0.30929,0.84367,0.9553,0.96401,0.97052,0.86346,0.50991,0.31972,0.83282,0.000919704,0.000919704,0.000919704
20,179.474,0.47065,0.30557,0.8407,0.95416,0.96649,0.97012,0.86161,0.51402,0.32055,0.83504,0.00089141,0.00089141,0.00089141
