epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5623,0.61752,0.40117,0.84479,0.93423,0.94369,0.95438,0.81098,0.65994,0.40834,0.88096,0.000462724,0.000462724,0.000462724
2,32.9125,0.55574,0.34502,0.8397,0.92686,0.95467,0.95345,0.80782,0.63062,0.40036,0.86423,0.00084609,0.00084609,0.00084609
3,42.5373,0.56261,0.35522,0.8239,0.92618,0.95943,0.95613,0.79978,0.65446,0.40672,0.87584,0.00113514,0.00113514,0.00113514
4,52.153,0.56853,0.36126,0.8336,0.94177,0.94456,0.96419,0.80423,0.64531,0.40704,0.88002,0.00100459,0.00100459,0.00100459
5,61.7175,0.56899,0.35312,0.82566,0.92854,0.96869,0.96922,0.80574,0.64272,0.39978,0.87105,0.000863116,0.000863116,0.000863116
6,71.4848,0.56548,0.34464,0.82219,0.93456,0.95475,0.96307,0.82225,0.62839,0.39154,0.87217,0.000721645,0.000721645,0.000721645
7,81.2243,0.54631,0.34356,0.83444,0.94393,0.95446,0.96206,0.82489,0.60194,0.37323,0.86458,0.000580174,0.000580174,0.000580174
8,91.0572,0.53234,0.33762,0.82719,0.93812,0.9609,0.97005,0.83093,0.59785,0.36195,0.85834,0.000438703,0.000438703,0.000438703
9,100.831,0.53319,0.32548,0.81867,0.94125,0.9567,0.97094,0.84116,0.5825,0.35359,0.85167,0.000297232,0.000297232,0.000297232
10,110.786,0.54562,0.32642,0.82998,0.94141,0.96494,0.97278,0.83974,0.57462,0.34179,0.85236,0.000155761,0.000155761,0.000155761
