epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1313,0.69726,0.4544,0.86931,0.58203,0.78964,0.74682,0.55549,1.13548,2.30151,1.0778,0.000462724,0.000462724,0.000462724
2,39.0707,0.63219,0.41286,0.85754,0.94286,0.95067,0.9565,0.7974,0.65336,0.43829,0.8635,0.00084609,0.00084609,0.00084609
3,50.6127,0.65669,0.42665,0.84891,0.92402,0.93169,0.94994,0.79185,0.66129,0.52951,0.86648,0.00113514,0.00113514,0.00113514
4,62.3471,0.65385,0.43801,0.86184,0.93657,0.94592,0.95799,0.79982,0.64055,0.44043,0.85899,0.00100459,0.00100459,0.00100459
5,73.8971,0.60282,0.41087,0.83662,0.94531,0.9588,0.9628,0.81202,0.61038,0.40609,0.85462,0.000863116,0.000863116,0.000863116
6,85.6606,0.57633,0.38498,0.83052,0.9467,0.96703,0.97178,0.83632,0.58097,0.3942,0.84564,0.000721645,0.000721645,0.000721645
7,97.6345,0.57435,0.37828,0.8447,0.94813,0.96437,0.97461,0.83858,0.55738,0.36455,0.84132,0.000580174,0.000580174,0.000580174
8,109.818,0.56177,0.36007,0.8355,0.94636,0.97785,0.97401,0.84584,0.55523,0.35287,0.84343,0.000438703,0.000438703,0.000438703
9,121.54,0.53769,0.34584,0.82319,0.94527,0.97402,0.97494,0.84963,0.56051,0.36154,0.83953,0.000297232,0.000297232,0.000297232
10,133.726,0.54049,0.33927,0.83157,0.93813,0.97873,0.97257,0.84541,0.55008,0.34779,0.83873,0.000155761,0.000155761,0.000155761
