epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4332,0.50204,0.32505,0.81259,0.92645,0.95041,0.95867,0.83078,0.58836,0.40837,0.84621,0.000462724,0.000462724,0.000462724
2,39.6587,0.49994,0.33217,0.82423,0.9441,0.97408,0.9739,0.83457,0.59301,0.38605,0.84424,0.00084609,0.00084609,0.00084609
3,49.9704,0.54632,0.35394,0.82002,0.93815,0.95268,0.95228,0.80856,0.63428,0.44107,0.8581,0.00113514,0.00113514,0.00113514
4,59.4082,0.53307,0.35133,0.82458,0.9303,0.97858,0.9649,0.83002,0.59879,0.409,0.85271,0.00100459,0.00100459,0.00100459
5,69.554,0.51952,0.35195,0.81574,0.94827,0.96909,0.97422,0.84549,0.56987,0.38547,0.84614,0.000863116,0.000863116,0.000863116
6,81.4581,0.50301,0.34331,0.812,0.93751,0.97501,0.96117,0.83223,0.58374,0.38214,0.84558,0.000721645,0.000721645,0.000721645
7,93.547,0.48902,0.32873,0.82389,0.93756,0.97456,0.97286,0.84875,0.54503,0.35488,0.83784,0.000580174,0.000580174,0.000580174
8,106.414,0.48333,0.3104,0.81583,0.95009,0.97788,0.97521,0.85805,0.52625,0.34044,0.83437,0.000438703,0.000438703,0.000438703
9,118.768,0.47274,0.30662,0.80569,0.94843,0.98212,0.97692,0.86032,0.53198,0.33691,0.83321,0.000297232,0.000297232,0.000297232
10,131.422,0.48584,0.30805,0.81935,0.94725,0.98387,0.97598,0.8596,0.51243,0.32303,0.83009,0.000155761,0.000155761,0.000155761
