epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76798,0.80014,0.5674,0.9468,0.73335,0.47894,0.54072,0.38915,1.07162,2.09257,1.03513,0.000462724,0.000462724,0.000462724
2,18.5492,0.64143,0.39508,0.8779,0.92669,0.92198,0.9582,0.79492,0.68101,0.4144,0.87883,0.000920464,0.000920464,0.000920464
3,26.7912,0.62306,0.38709,0.87879,0.94266,0.9403,0.96561,0.81927,0.63144,0.37246,0.85975,0.00135934,0.00135934,0.00135934
4,35.3003,0.61464,0.38288,0.86506,0.92598,0.9533,0.96077,0.81779,0.61493,0.37669,0.85308,0.00134412,0.00134412,0.00134412
5,43.5616,0.60838,0.37944,0.8697,0.93869,0.94304,0.96174,0.80683,0.64873,0.38819,0.86476,0.00131582,0.00131582,0.00131582
6,51.5215,0.60648,0.37154,0.86998,0.92976,0.9439,0.96968,0.82149,0.61652,0.39441,0.86059,0.00128753,0.00128753,0.00128753
7,59.7733,0.59253,0.36958,0.86361,0.92981,0.97098,0.96227,0.82018,0.61265,0.36593,0.85576,0.00125923,0.00125923,0.00125923
8,67.9003,0.58276,0.35665,0.85757,0.91987,0.96241,0.95994,0.81309,0.62354,0.39305,0.85773,0.00123094,0.00123094,0.00123094
9,76.1042,0.58507,0.36439,0.86769,0.93778,0.96377,0.96795,0.82819,0.62355,0.35962,0.85582,0.00120265,0.00120265,0.00120265
10,84.5987,0.57022,0.35047,0.85102,0.92748,0.97055,0.96938,0.83689,0.58795,0.34496,0.84832,0.00117435,0.00117435,0.00117435
11,93.6297,0.5643,0.3462,0.8581,0.93709,0.93611,0.97141,0.83905,0.59751,0.35244,0.85064,0.00114606,0.00114606,0.00114606
12,102.172,0.5737,0.34936,0.85676,0.94048,0.9609,0.97448,0.84218,0.58136,0.35476,0.85126,0.00111776,0.00111776,0.00111776
13,110.663,0.56365,0.34834,0.86044,0.92535,0.96915,0.96604,0.83327,0.60299,0.35287,0.85457,0.00108947,0.00108947,0.00108947
14,119.458,0.56012,0.34316,0.85785,0.94177,0.94078,0.9712,0.84671,0.57445,0.357,0.85028,0.00106118,0.00106118,0.00106118
15,128.567,0.56147,0.3398,0.86195,0.93013,0.96457,0.96808,0.84507,0.57852,0.36045,0.84476,0.00103288,0.00103288,0.00103288
16,138.029,0.55407,0.33402,0.85304,0.93049,0.97947,0.97507,0.85498,0.56269,0.32923,0.84535,0.00100459,0.00100459,0.00100459
17,147.593,0.54827,0.33267,0.85321,0.93212,0.97533,0.97663,0.85433,0.56258,0.33824,0.84589,0.000976293,0.000976293,0.000976293
18,156.903,0.53818,0.3236,0.85367,0.94402,0.96835,0.97555,0.85535,0.54513,0.33409,0.83942,0.000947999,0.000947999,0.000947999
19,166.485,0.54189,0.32493,0.85499,0.94086,0.97119,0.97445,0.85592,0.53772,0.32408,0.83772,0.000919704,0.000919704,0.000919704
20,175.856,0.52078,0.32066,0.84773,0.93492,0.98281,0.97571,0.85681,0.53878,0.31839,0.83533,0.00089141,0.00089141,0.00089141
21,185.331,0.52415,0.31891,0.8474,0.93276,0.97939,0.97417,0.85958,0.54153,0.3194,0.83379,0.000863116,0.000863116,0.000863116
22,194.765,0.52827,0.31849,0.85567,0.93147,0.96819,0.97191,0.85591,0.54171,0.3321,0.83761,0.000834822,0.000834822,0.000834822
23,204.129,0.52672,0.31389,0.84902,0.9269,0.97656,0.97142,0.85616,0.55661,0.33912,0.84117,0.000806528,0.000806528,0.000806528
24,213.518,0.5318,0.31549,0.85128,0.9308,0.95058,0.95814,0.82601,0.59665,0.36992,0.85151,0.000778233,0.000778233,0.000778233
25,222.884,0.52497,0.31149,0.84847,0.93731,0.9588,0.97102,0.85626,0.54759,0.33315,0.83541,0.000749939,0.000749939,0.000749939
26,232.153,0.51816,0.30644,0.8485,0.93728,0.96909,0.97149,0.8619,0.52286,0.31748,0.83087,0.000721645,0.000721645,0.000721645
27,241.443,0.51968,0.30984,0.85744,0.94007,0.98211,0.97499,0.85803,0.54525,0.32345,0.83564,0.000693351,0.000693351,0.000693351
