epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1421,0.57869,0.36035,0.86634,0.93937,0.95844,0.95525,0.8211,0.5856,0.36912,0.85348,0.000462724,0.000462724,0.000462724
2,19.7705,0.47463,0.29371,0.83285,0.94844,0.96492,0.96688,0.83935,0.55819,0.354,0.84227,0.00090187,0.00090187,0.00090187
3,29.1042,0.4982,0.31458,0.84509,0.94042,0.96526,0.96228,0.83225,0.57804,0.37132,0.85805,0.00130329,0.00130329,0.00130329
4,38.1887,0.51842,0.33208,0.83942,0.93891,0.97114,0.9709,0.84397,0.55081,0.36419,0.84667,0.00125923,0.00125923,0.00125923
5,47.5093,0.50921,0.33334,0.84377,0.93792,0.95801,0.96309,0.83721,0.57997,0.35915,0.86192,0.00120265,0.00120265,0.00120265
6,56.9239,0.51205,0.33607,0.84578,0.93608,0.96435,0.96778,0.84565,0.53707,0.37148,0.83542,0.00114606,0.00114606,0.00114606
7,66.1894,0.50714,0.32902,0.84413,0.95263,0.96269,0.96488,0.85553,0.53005,0.3644,0.83445,0.00108947,0.00108947,0.00108947
8,75.5391,0.49686,0.32607,0.83711,0.95297,0.96085,0.9716,0.8577,0.52753,0.34653,0.83116,0.00103288,0.00103288,0.00103288
9,84.9686,0.50244,0.32502,0.85134,0.93992,0.97159,0.9727,0.85904,0.53482,0.33944,0.83536,0.000976293,0.000976293,0.000976293
10,94.3071,0.47984,0.30595,0.82994,0.93976,0.97735,0.97298,0.84883,0.53734,0.33864,0.83618,0.000919704,0.000919704,0.000919704
11,103.605,0.47387,0.29957,0.83639,0.94735,0.97038,0.96934,0.85522,0.54623,0.32944,0.83901,0.000863116,0.000863116,0.000863116
12,112.811,0.4925,0.31001,0.84056,0.93584,0.97392,0.97225,0.86431,0.50858,0.32087,0.83408,0.000806528,0.000806528,0.000806528
13,121.075,0.47312,0.30227,0.83948,0.94886,0.96176,0.96851,0.85381,0.53337,0.33113,0.83802,0.000749939,0.000749939,0.000749939
14,129.909,0.47886,0.30444,0.83989,0.9442,0.97388,0.96786,0.85992,0.51292,0.3378,0.8321,0.000693351,0.000693351,0.000693351
15,138.419,0.47727,0.30336,0.84522,0.94331,0.96363,0.97063,0.86935,0.49327,0.32394,0.82586,0.000636762,0.000636762,0.000636762
16,161.047,0.46062,0.27569,0.8133,0.94959,0.96425,0.97436,0.86174,0.51251,0.32206,0.82889,0.000580174,0.000580174,0.000580174
17,169.943,0.45095,0.2696,0.80153,0.93716,0.96928,0.97267,0.86323,0.50689,0.33685,0.83027,0.000523586,0.000523586,0.000523586
18,179.008,0.46155,0.27478,0.80875,0.93971,0.97456,0.96571,0.85382,0.524,0.3293,0.83176,0.000466997,0.000466997,0.000466997
19,188.137,0.45347,0.26861,0.81093,0.94107,0.97449,0.97012,0.85688,0.52419,0.31477,0.82755,0.000410409,0.000410409,0.000410409
20,197.308,0.44955,0.26349,0.80176,0.94162,0.9756,0.96949,0.86772,0.49558,0.30759,0.82733,0.00035382,0.00035382,0.00035382
21,206.346,0.43896,0.26081,0.80861,0.94829,0.97182,0.97268,0.87364,0.49603,0.30291,0.82768,0.000297232,0.000297232,0.000297232
22,215.66,0.44069,0.2505,0.80345,0.93807,0.97456,0.96532,0.86614,0.50363,0.30957,0.82955,0.000240644,0.000240644,0.000240644
23,223.463,0.42439,0.24893,0.80214,0.94269,0.97648,0.96775,0.86569,0.49377,0.30768,0.82821,0.000184055,0.000184055,0.000184055
24,233.172,0.41839,0.24226,0.80558,0.94211,0.97388,0.96654,0.86544,0.49179,0.3027,0.82626,0.000127467,0.000127467,0.000127467
25,242.776,0.41032,0.23473,0.79848,0.94224,0.9731,0.96764,0.86755,0.48862,0.30178,0.8256,7.08784e-05,7.08784e-05,7.08784e-05
