epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1994,0.84189,0.60248,0.92528,0.89537,0.88722,0.94222,0.76653,0.74346,0.61622,0.89549,0.000462724,0.000462724,0.000462724
2,31.631,0.68826,0.43728,0.87555,0.93244,0.93248,0.95656,0.80128,0.65473,0.44764,0.86905,0.00084609,0.00084609,0.00084609
3,40.8509,0.67072,0.42245,0.85349,0.93463,0.92999,0.95824,0.78252,0.67667,0.45626,0.86488,0.00113514,0.00113514,0.00113514
4,49.876,0.64495,0.41687,0.85567,0.93481,0.95818,0.95769,0.79651,0.64781,0.43422,0.86657,0.00100459,0.00100459,0.00100459
5,58.955,0.63109,0.40803,0.84568,0.9512,0.93277,0.95255,0.79827,0.64475,0.4268,0.86804,0.000863116,0.000863116,0.000863116
6,67.9823,0.60614,0.39888,0.83933,0.93789,0.9485,0.95706,0.80499,0.63373,0.41345,0.8646,0.000721645,0.000721645,0.000721645
7,77.2364,0.59348,0.38603,0.84893,0.95699,0.94787,0.96659,0.81726,0.61392,0.38631,0.85518,0.000580174,0.000580174,0.000580174
8,86.4447,0.58083,0.37006,0.84201,0.92341,0.96441,0.96392,0.82502,0.60067,0.38466,0.8492,0.000438703,0.000438703,0.000438703
9,95.5293,0.57156,0.35521,0.83203,0.95357,0.95022,0.97076,0.82877,0.59167,0.36791,0.85098,0.000297232,0.000297232,0.000297232
10,104.673,0.57827,0.34931,0.84521,0.9526,0.94964,0.96957,0.83337,0.58188,0.35778,0.84618,0.000155761,0.000155761,0.000155761
