epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3715,0.68893,0.43171,0.9018,0.93626,0.93045,0.95,0.79871,0.6701,0.41514,0.88046,0.000462724,0.000462724,0.000462724
2,18.9128,0.58351,0.34416,0.86149,0.92975,0.9754,0.96946,0.82873,0.60307,0.35415,0.85342,0.00090187,0.00090187,0.00090187
3,28.3617,0.57999,0.35718,0.8658,0.92954,0.97119,0.96859,0.81933,0.61444,0.37068,0.85224,0.00130329,0.00130329,0.00130329
4,37.5281,0.58309,0.36314,0.85315,0.92647,0.96153,0.97225,0.8282,0.59826,0.36143,0.85071,0.00125923,0.00125923,0.00125923
5,46.8958,0.56722,0.35706,0.85522,0.9344,0.94015,0.96628,0.83029,0.58368,0.37428,0.84544,0.00120265,0.00120265,0.00120265
6,55.9773,0.56467,0.35525,0.8538,0.9353,0.95156,0.96048,0.81875,0.58774,0.37369,0.84541,0.00114606,0.00114606,0.00114606
7,65.1064,0.54034,0.33649,0.84964,0.94415,0.94357,0.96582,0.82862,0.56527,0.3724,0.8429,0.00108947,0.00108947,0.00108947
8,74.4709,0.54654,0.33746,0.8458,0.94188,0.9623,0.96211,0.83269,0.56987,0.35024,0.8504,0.00103288,0.00103288,0.00103288
9,83.9765,0.535,0.34706,0.85418,0.91841,0.95943,0.96404,0.83949,0.56246,0.36103,0.8444,0.000976293,0.000976293,0.000976293
10,93.4283,0.52025,0.32367,0.83607,0.92433,0.96909,0.96764,0.83885,0.56214,0.34316,0.83978,0.000919704,0.000919704,0.000919704
11,103.086,0.53022,0.3256,0.84666,0.94337,0.96561,0.96249,0.84018,0.56738,0.35002,0.84236,0.000863116,0.000863116,0.000863116
12,112.512,0.54132,0.32538,0.84768,0.9351,0.96821,0.96804,0.84508,0.54642,0.34028,0.84407,0.000806528,0.000806528,0.000806528
13,121.992,0.52856,0.32187,0.85191,0.93243,0.97195,0.96625,0.84706,0.55372,0.34063,0.841,0.000749939,0.000749939,0.000749939
14,131.374,0.53521,0.34052,0.85215,0.92738,0.98168,0.96955,0.85358,0.53413,0.32949,0.83222,0.000693351,0.000693351,0.000693351
15,140.881,0.53435,0.32615,0.85904,0.92955,0.98286,0.97116,0.85698,0.54006,0.33631,0.83668,0.000636762,0.000636762,0.000636762
16,164.409,0.50269,0.30368,0.82229,0.94091,0.96051,0.97365,0.85632,0.5385,0.33324,0.83587,0.000580174,0.000580174,0.000580174
17,173.119,0.49886,0.29498,0.81046,0.93457,0.96909,0.9748,0.84688,0.54076,0.33597,0.84016,0.000523586,0.000523586,0.000523586
18,181.846,0.49667,0.28595,0.81795,0.92944,0.97203,0.96935,0.84361,0.548,0.3442,0.84254,0.000466997,0.000466997,0.000466997
19,190.514,0.49335,0.28547,0.82031,0.93416,0.96941,0.96473,0.84792,0.5367,0.33133,0.83831,0.000410409,0.000410409,0.000410409
20,199.445,0.48714,0.28127,0.80778,0.93264,0.96971,0.96792,0.85673,0.52777,0.33072,0.83781,0.00035382,0.00035382,0.00035382
21,208.4,0.48738,0.27881,0.81827,0.93508,0.97679,0.96875,0.86039,0.51293,0.31821,0.83444,0.000297232,0.000297232,0.000297232
22,217.948,0.48033,0.27445,0.81185,0.93311,0.97458,0.96844,0.8612,0.52933,0.31769,0.83444,0.000240644,0.000240644,0.000240644
23,227.041,0.47363,0.27277,0.81203,0.92889,0.97182,0.96732,0.86353,0.51183,0.31308,0.83277,0.000184055,0.000184055,0.000184055
24,236.152,0.46102,0.26013,0.81351,0.93432,0.96909,0.97174,0.86344,0.51185,0.31176,0.83239,0.000127467,0.000127467,0.000127467
25,245.778,0.45808,0.25572,0.80611,0.93593,0.97182,0.97281,0.86377,0.50979,0.30906,0.83193,7.08784e-05,7.08784e-05,7.08784e-05
