epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.47808,0.82496,0.583,0.95055,0.82085,0.75985,0.81929,0.62256,0.95278,0.76691,1.02881,0.000462724,0.000462724,0.000462724
2,18.8728,0.66013,0.41691,0.88365,0.93889,0.94532,0.95385,0.80124,0.6685,0.41008,0.89123,0.00090187,0.00090187,0.00090187
3,27.9714,0.62799,0.38563,0.88164,0.93903,0.94577,0.96784,0.81672,0.62517,0.38985,0.86291,0.00130329,0.00130329,0.00130329
4,37.2357,0.63152,0.39397,0.86886,0.93985,0.95344,0.96541,0.81146,0.61457,0.40233,0.85577,0.00125923,0.00125923,0.00125923
5,46.3355,0.62161,0.40284,0.8704,0.88111,0.95417,0.95874,0.82011,0.59872,0.43549,0.86449,0.00120265,0.00120265,0.00120265
6,55.3983,0.6238,0.39614,0.87425,0.93607,0.9445,0.96561,0.81219,0.63222,0.39916,0.85888,0.00114606,0.00114606,0.00114606
7,64.2968,0.6005,0.38179,0.86563,0.94057,0.9609,0.96262,0.82123,0.58743,0.38319,0.84472,0.00108947,0.00108947,0.00108947
8,73.6096,0.61641,0.38831,0.8626,0.93232,0.96611,0.96024,0.82859,0.57447,0.35771,0.84395,0.00103288,0.00103288,0.00103288
9,83.0137,0.59384,0.38449,0.87602,0.94623,0.96151,0.97134,0.84638,0.55984,0.3437,0.84157,0.000976293,0.000976293,0.000976293
10,92.1014,0.58262,0.36484,0.85445,0.92683,0.96971,0.97534,0.84057,0.56385,0.3556,0.84934,0.000919704,0.000919704,0.000919704
11,101.559,0.58032,0.35442,0.86055,0.92855,0.98154,0.96656,0.83558,0.57096,0.35601,0.84521,0.000863116,0.000863116,0.000863116
12,110.719,0.58499,0.36215,0.85743,0.93124,0.95857,0.9713,0.83714,0.58366,0.36459,0.84971,0.000806528,0.000806528,0.000806528
13,119.942,0.56641,0.35486,0.86264,0.94991,0.95159,0.96898,0.84294,0.56134,0.34355,0.84027,0.000749939,0.000749939,0.000749939
14,129.082,0.56673,0.35119,0.86021,0.92601,0.97859,0.96965,0.8405,0.55714,0.3431,0.83882,0.000693351,0.000693351,0.000693351
15,138.347,0.56797,0.34672,0.86369,0.92914,0.97815,0.96813,0.84121,0.54949,0.33153,0.84062,0.000636762,0.000636762,0.000636762
16,161.725,0.5443,0.3189,0.83154,0.94028,0.97625,0.97403,0.83919,0.5674,0.33428,0.84065,0.000580174,0.000580174,0.000580174
17,170.344,0.52777,0.31856,0.81655,0.93878,0.97689,0.97166,0.84266,0.5641,0.33542,0.84424,0.000523586,0.000523586,0.000523586
18,179.045,0.52214,0.30773,0.8238,0.93401,0.97364,0.96921,0.83738,0.55802,0.3433,0.84293,0.000466997,0.000466997,0.000466997
19,187.773,0.51558,0.30146,0.82223,0.93477,0.97814,0.96714,0.84309,0.55102,0.32886,0.83429,0.000410409,0.000410409,0.000410409
