epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.17271,0.93952,0.6189,0.9774,0.90683,0.88232,0.91054,0.71612,0.82362,0.48458,0.91479,0.000462724,0.000462724,0.000462724
2,18.2738,0.8479,0.53475,0.94121,0.92024,0.88332,0.91432,0.72424,0.8121,0.45343,0.91197,0.00090187,0.00090187,0.00090187
3,27.187,0.86179,0.53861,0.95458,0.91401,0.92476,0.92727,0.72515,0.78256,0.44523,0.90578,0.00130329,0.00130329,0.00130329
4,36.1448,0.82353,0.50839,0.92917,0.92977,0.90374,0.93289,0.73724,0.75341,0.44731,0.89282,0.00125923,0.00125923,0.00125923
5,45.1746,0.83565,0.52304,0.93943,0.93148,0.88904,0.92954,0.72432,0.78973,0.47855,0.90071,0.00120265,0.00120265,0.00120265
6,53.6144,0.82124,0.50907,0.9297,0.91659,0.91135,0.93022,0.73761,0.77439,0.44944,0.89911,0.00114606,0.00114606,0.00114606
7,62.3481,0.8161,0.50256,0.9347,0.94492,0.91892,0.93705,0.73939,0.78421,0.43739,0.90072,0.00108947,0.00108947,0.00108947
8,71.3805,0.80175,0.49229,0.9215,0.94705,0.91149,0.933,0.74787,0.75304,0.43624,0.89041,0.00103288,0.00103288,0.00103288
9,80.5204,0.78734,0.4966,0.93315,0.93441,0.89629,0.92806,0.74792,0.75148,0.43579,0.89216,0.000976293,0.000976293,0.000976293
10,89.1778,0.77966,0.47765,0.91167,0.93942,0.9297,0.93773,0.75644,0.7503,0.42571,0.89632,0.000919704,0.000919704,0.000919704
11,98.3819,0.7697,0.4687,0.91655,0.93472,0.90415,0.93398,0.75517,0.73217,0.45327,0.88849,0.000863116,0.000863116,0.000863116
12,107.03,0.77421,0.47111,0.9197,0.92168,0.92131,0.9325,0.74683,0.73763,0.4131,0.88965,0.000806528,0.000806528,0.000806528
13,115.866,0.75394,0.45825,0.91611,0.92328,0.89471,0.93522,0.7581,0.71844,0.41129,0.88679,0.000749939,0.000749939,0.000749939
14,124.62,0.74235,0.45289,0.91305,0.92176,0.9206,0.93658,0.76352,0.71561,0.42086,0.87927,0.000693351,0.000693351,0.000693351
15,133.611,0.74138,0.44826,0.91149,0.92329,0.93868,0.94132,0.76065,0.74134,0.41278,0.88957,0.000636762,0.000636762,0.000636762
16,156.421,0.73721,0.41812,0.88957,0.91118,0.92237,0.93274,0.74568,0.73558,0.41803,0.89506,0.000580174,0.000580174,0.000580174
17,164.733,0.71239,0.40792,0.86898,0.93512,0.90564,0.93436,0.75029,0.74368,0.40436,0.89346,0.000523586,0.000523586,0.000523586
18,173.11,0.68697,0.39425,0.87399,0.91397,0.93688,0.94164,0.75722,0.73197,0.40244,0.88607,0.000466997,0.000466997,0.000466997
19,181.47,0.69869,0.38741,0.88054,0.95001,0.89852,0.94239,0.7564,0.73769,0.3955,0.88906,0.000410409,0.000410409,0.000410409
20,190.042,0.68555,0.38154,0.86714,0.90764,0.92328,0.93801,0.75474,0.73771,0.41751,0.88609,0.00035382,0.00035382,0.00035382
21,198.674,0.68379,0.38209,0.87463,0.92197,0.92407,0.94132,0.76924,0.70901,0.3896,0.87765,0.000297232,0.000297232,0.000297232
22,207.544,0.67706,0.37472,0.86499,0.92407,0.94116,0.9433,0.76029,0.71921,0.38957,0.87799,0.000240644,0.000240644,0.000240644
23,215.931,0.68126,0.38207,0.86829,0.92682,0.93843,0.94444,0.76663,0.71009,0.38506,0.8778,0.000184055,0.000184055,0.000184055
24,224.433,0.66582,0.37642,0.86837,0.92542,0.93023,0.94739,0.77569,0.70221,0.38652,0.87589,0.000127467,0.000127467,0.000127467
25,233.293,0.66952,0.36347,0.86427,0.93451,0.92988,0.94933,0.77818,0.6966,0.38665,0.87502,7.08784e-05,7.08784e-05,7.08784e-05
