epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41213,1.0298,0.68131,1.01332,0.86095,0.77632,0.84772,0.62507,0.97997,0.61857,0.96753,0.000462724,0.000462724,0.000462724
2,18.5099,0.9246,0.60946,0.96808,0.86345,0.76966,0.84704,0.63864,0.93138,0.59532,0.96217,0.00090187,0.00090187,0.00090187
3,27.2928,0.9408,0.6157,0.98258,0.87739,0.81522,0.85915,0.65378,0.88374,0.56398,0.94165,0.00130329,0.00130329,0.00130329
4,36.0692,0.92307,0.59167,0.9607,0.87632,0.79296,0.84959,0.64195,0.9298,0.60631,0.96303,0.00125923,0.00125923,0.00125923
5,44.9319,0.91936,0.60476,0.97239,0.87911,0.84992,0.87998,0.67227,0.89085,0.5439,0.93805,0.00120265,0.00120265,0.00120265
6,53.6717,0.90347,0.58958,0.95842,0.88334,0.8375,0.88259,0.66464,0.87808,0.5593,0.93958,0.00114606,0.00114606,0.00114606
7,62.335,0.88013,0.5694,0.95864,0.88457,0.8596,0.88394,0.67284,0.84344,0.54463,0.92739,0.00108947,0.00108947,0.00108947
8,71.398,0.87593,0.55848,0.94548,0.87017,0.77869,0.82535,0.62199,0.9387,0.72707,0.97061,0.00103288,0.00103288,0.00103288
9,80.3755,0.86717,0.5641,0.95941,0.85728,0.79545,0.85347,0.64204,0.90071,0.63872,0.94436,0.000976293,0.000976293,0.000976293
10,89.0192,0.84054,0.54473,0.93314,0.88999,0.85636,0.88835,0.67475,0.85926,0.53238,0.92664,0.000919704,0.000919704,0.000919704
11,98.2804,0.84259,0.53603,0.94348,0.8893,0.88019,0.90106,0.69964,0.80174,0.4851,0.90772,0.000863116,0.000863116,0.000863116
12,107.256,0.85425,0.5466,0.94618,0.89512,0.89932,0.91137,0.71402,0.77735,0.46778,0.90225,0.000806528,0.000806528,0.000806528
13,116.464,0.82317,0.51455,0.93877,0.92058,0.88089,0.92207,0.72039,0.79251,0.45628,0.90582,0.000749939,0.000749939,0.000749939
14,125.366,0.83486,0.54329,0.94219,0.89302,0.89173,0.90988,0.72768,0.75522,0.45451,0.89746,0.000693351,0.000693351,0.000693351
15,134.419,0.81313,0.51674,0.9404,0.91383,0.88615,0.91782,0.72778,0.7638,0.45311,0.89727,0.000636762,0.000636762,0.000636762
16,157.522,0.82227,0.51997,0.9191,0.87845,0.86269,0.88476,0.69005,0.82926,0.51856,0.92628,0.000580174,0.000580174,0.000580174
17,166.08,0.79249,0.47888,0.90091,0.89777,0.8699,0.90234,0.70689,0.79928,0.48952,0.90703,0.000523586,0.000523586,0.000523586
18,174.906,0.76488,0.45833,0.89795,0.88173,0.88224,0.8957,0.70929,0.78846,0.49068,0.90655,0.000466997,0.000466997,0.000466997
19,183.356,0.76753,0.44553,0.90153,0.89456,0.87449,0.90837,0.71473,0.78873,0.47295,0.903,0.000410409,0.000410409,0.000410409
20,192.195,0.76142,0.44709,0.89017,0.90836,0.89595,0.92663,0.73564,0.7422,0.44475,0.89282,0.00035382,0.00035382,0.00035382
21,201.214,0.75198,0.44281,0.89312,0.93176,0.88981,0.92215,0.73902,0.728,0.43469,0.88706,0.000297232,0.000297232,0.000297232
22,210.269,0.74258,0.43516,0.88605,0.92088,0.89595,0.92586,0.73828,0.73179,0.4252,0.888,0.000240644,0.000240644,0.000240644
23,218.934,0.74005,0.4366,0.89112,0.93256,0.89296,0.92474,0.74187,0.72961,0.42687,0.88783,0.000184055,0.000184055,0.000184055
24,227.746,0.72999,0.43067,0.88725,0.93816,0.88886,0.9258,0.74093,0.72676,0.42806,0.8865,0.000127467,0.000127467,0.000127467
25,236.894,0.71577,0.41861,0.88006,0.94308,0.88627,0.92666,0.74669,0.72371,0.42569,0.88505,7.08784e-05,7.08784e-05,7.08784e-05
