epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3755,2.30851,3.19776,1.80154,0.00083,0.16456,0.00086,0.00019,4.50536,3.96294,2.76068,0.000462724,0.000462724,0.000462724
2,50.6188,1.23764,1.04796,1.09125,0.63626,0.40349,0.45728,0.25104,1.69839,2.28302,1.38559,0.00084609,0.00084609,0.00084609
3,60.5348,1.04597,0.80247,0.98758,0.78503,0.80101,0.84299,0.57959,1.09877,0.98768,0.99539,0.00113514,0.00113514,0.00113514
4,70.2201,0.95189,0.72906,0.95077,0.88045,0.90793,0.93791,0.69454,0.87379,0.66198,0.93911,0.00100459,0.00100459,0.00100459
5,79.7035,0.84507,0.63342,0.92122,0.92247,0.92456,0.94975,0.72113,0.79858,0.57632,0.90506,0.000863116,0.000863116,0.000863116
6,89.3463,0.82203,0.57561,0.90528,0.93696,0.92535,0.95704,0.75206,0.77105,0.53885,0.89853,0.000721645,0.000721645,0.000721645
7,98.9735,0.77823,0.54475,0.89068,0.94262,0.94266,0.95893,0.77229,0.70646,0.47243,0.87994,0.000580174,0.000580174,0.000580174
8,108.531,0.72668,0.50482,0.87662,0.94572,0.95278,0.96488,0.78811,0.68544,0.44684,0.87223,0.000438703,0.000438703,0.000438703
9,118.209,0.70456,0.48765,0.87621,0.94807,0.95791,0.96285,0.79281,0.69203,0.44922,0.88256,0.000297232,0.000297232,0.000297232
10,127.969,0.67936,0.46108,0.86327,0.93939,0.95903,0.96723,0.80886,0.65476,0.41489,0.87285,0.000155761,0.000155761,0.000155761
