epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0726,1.53607,1.92655,1.2891,0.58218,0.09563,0.27748,0.11753,2.50059,4.60601,1.95782,0.000462724,0.000462724,0.000462724
2,32.7226,0.95553,0.65702,0.97638,0.90721,0.91729,0.9452,0.70123,0.88199,0.54021,0.94102,0.00084609,0.00084609,0.00084609
3,41.8308,0.9116,0.61697,0.92945,0.90534,0.86941,0.92886,0.71588,0.87321,0.57207,0.92988,0.00113514,0.00113514,0.00113514
4,50.9867,0.83846,0.56313,0.92469,0.93487,0.93774,0.95122,0.7495,0.80664,0.52243,0.90986,0.00100459,0.00100459,0.00100459
5,60.1521,0.80832,0.53233,0.89667,0.92683,0.93129,0.95217,0.75975,0.75379,0.48105,0.89842,0.000863116,0.000863116,0.000863116
6,69.3327,0.7802,0.51531,0.88538,0.92927,0.95398,0.96465,0.77276,0.73848,0.46362,0.89318,0.000721645,0.000721645,0.000721645
7,78.4889,0.74629,0.48938,0.88815,0.92931,0.94313,0.96211,0.78159,0.69409,0.45431,0.87926,0.000580174,0.000580174,0.000580174
8,87.504,0.73722,0.46688,0.88224,0.93284,0.95321,0.96157,0.78783,0.68703,0.43745,0.87703,0.000438703,0.000438703,0.000438703
9,96.4634,0.68936,0.44366,0.86212,0.93414,0.94944,0.96958,0.79722,0.67092,0.41542,0.86806,0.000297232,0.000297232,0.000297232
10,105.638,0.68459,0.43446,0.86955,0.93901,0.94606,0.97138,0.8077,0.64335,0.40423,0.86654,0.000155761,0.000155761,0.000155761
