epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.485,0.92631,0.57719,0.95456,0.85564,0.83467,0.86974,0.66922,0.92999,0.60445,0.95392,0.000462724,0.000462724,0.000462724
2,30.1678,0.91117,0.55722,0.96314,0.90363,0.86511,0.89175,0.69197,0.87237,0.51467,0.94554,0.00084609,0.00084609,0.00084609
3,38.585,0.87988,0.53354,0.9392,0.88815,0.85376,0.88057,0.67878,0.93663,0.58213,0.97171,0.00113514,0.00113514,0.00113514
4,46.7902,0.91679,0.55166,0.9604,0.90646,0.85251,0.89864,0.68142,0.87296,0.53304,0.94273,0.00100459,0.00100459,0.00100459
5,55.0344,0.87167,0.54859,0.9273,0.90764,0.88399,0.90096,0.69058,0.88661,0.52496,0.94107,0.000863116,0.000863116,0.000863116
6,63.3717,0.85152,0.53694,0.92454,0.88273,0.88552,0.89601,0.69309,0.84428,0.50675,0.92817,0.000721645,0.000721645,0.000721645
7,71.8283,0.84958,0.51599,0.93609,0.90779,0.85344,0.90487,0.70297,0.82619,0.51033,0.92548,0.000580174,0.000580174,0.000580174
8,80.2386,0.81387,0.49344,0.91823,0.90276,0.8702,0.91593,0.71648,0.80511,0.50215,0.91507,0.000438703,0.000438703,0.000438703
9,88.6781,0.80819,0.47305,0.90829,0.9119,0.88503,0.91644,0.72695,0.79744,0.45906,0.91004,0.000297232,0.000297232,0.000297232
10,96.9549,0.81979,0.48095,0.91629,0.90549,0.90295,0.91627,0.73163,0.78647,0.44828,0.90918,0.000155761,0.000155761,0.000155761
