epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0335,3.22133,4.22882,2.62047,0.00196,0.4253,0.00331,0.00092,4.27046,3.68655,2.93434,0.000462724,0.000462724,0.000462724
2,47.0484,1.89677,2.08687,1.50666,0.0155,0.14986,0.03553,0.01123,2.82553,4.36713,1.8684,0.00084609,0.00084609,0.00084609
3,54.6222,1.36871,1.32568,1.1529,0.60065,0.65615,0.67707,0.44508,1.31689,1.41443,1.11778,0.00113514,0.00113514,0.00113514
4,61.7652,1.18834,1.04859,1.04847,0.67849,0.67303,0.69629,0.47111,1.21302,1.30862,1.09324,0.00100459,0.00100459,0.00100459
5,68.849,1.05334,0.866,1.00293,0.83813,0.82715,0.86503,0.63664,0.99461,0.77406,0.96597,0.000863116,0.000863116,0.000863116
6,75.9186,0.98252,0.77411,0.96275,0.89465,0.89716,0.91338,0.67546,0.93533,0.64675,0.9379,0.000721645,0.000721645,0.000721645
7,82.936,0.91014,0.68501,0.93573,0.91427,0.91252,0.93432,0.72309,0.83633,0.57508,0.92228,0.000580174,0.000580174,0.000580174
8,90.1149,0.86736,0.65105,0.92061,0.90639,0.91571,0.93568,0.73991,0.78966,0.56715,0.90093,0.000438703,0.000438703,0.000438703
9,97.1863,0.83761,0.60228,0.91753,0.92727,0.93864,0.94544,0.75435,0.76546,0.52939,0.89142,0.000297232,0.000297232,0.000297232
10,104.554,0.78411,0.57877,0.89471,0.93776,0.93183,0.95006,0.76419,0.72703,0.49391,0.88376,0.000155761,0.000155761,0.000155761
