epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.837,0.62884,0.40962,0.85307,0.87446,0.88457,0.94797,0.79227,0.66559,0.55567,0.86986,0.000462724,0.000462724,0.000462724
2,31.5858,0.56645,0.3578,0.84021,0.93297,0.94753,0.95393,0.80562,0.62747,0.41212,0.8643,0.00084609,0.00084609,0.00084609
3,41.2814,0.56841,0.36945,0.82618,0.94595,0.94638,0.95374,0.80723,0.61628,0.40968,0.86006,0.00113514,0.00113514,0.00113514
4,50.7665,0.56836,0.37332,0.83467,0.9524,0.95666,0.97008,0.81643,0.66083,0.40882,0.86355,0.00100459,0.00100459,0.00100459
5,60.293,0.56503,0.36253,0.82532,0.954,0.96426,0.97165,0.81814,0.61198,0.38951,0.85666,0.000863116,0.000863116,0.000863116
6,69.9732,0.54431,0.35462,0.8228,0.94762,0.96566,0.97079,0.83097,0.60019,0.37388,0.8575,0.000721645,0.000721645,0.000721645
7,79.5304,0.53853,0.35458,0.83532,0.9543,0.96708,0.97277,0.84317,0.57662,0.3741,0.84848,0.000580174,0.000580174,0.000580174
8,89.0882,0.52925,0.33802,0.82738,0.95811,0.96153,0.97286,0.84435,0.56652,0.35193,0.84961,0.000438703,0.000438703,0.000438703
9,98.7247,0.53327,0.32855,0.81937,0.95999,0.96426,0.97419,0.84669,0.57329,0.35769,0.84755,0.000297232,0.000297232,0.000297232
10,108.489,0.53272,0.32577,0.83279,0.9497,0.96426,0.97588,0.8517,0.55897,0.33991,0.84722,0.000155761,0.000155761,0.000155761
