epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0888,0.57856,0.377,0.86813,0.93906,0.95006,0.95816,0.83237,0.55454,0.3791,0.84193,0.000462724,0.000462724,0.000462724
2,24.5029,0.51876,0.31797,0.8456,0.94304,0.96403,0.96681,0.8453,0.5483,0.36886,0.83884,0.000920464,0.000920464,0.000920464
3,36.6105,0.52913,0.33176,0.85497,0.93217,0.96245,0.9754,0.85322,0.56608,0.38823,0.84534,0.00135934,0.00135934,0.00135934
4,48.7607,0.52631,0.33616,0.84528,0.94085,0.97182,0.97326,0.85168,0.56438,0.36345,0.84491,0.00134412,0.00134412,0.00134412
5,60.2181,0.5204,0.34289,0.84708,0.95862,0.9588,0.97275,0.85351,0.54527,0.35771,0.84229,0.00131582,0.00131582,0.00131582
6,68.6409,0.51799,0.33033,0.84859,0.93843,0.96909,0.96836,0.85216,0.54761,0.36791,0.84021,0.00128753,0.00128753,0.00128753
7,77.4962,0.51611,0.32721,0.84783,0.92981,0.97163,0.97579,0.85935,0.53278,0.35847,0.83135,0.00125923,0.00125923,0.00125923
8,85.9892,0.51536,0.33081,0.84229,0.93324,0.97107,0.97098,0.85235,0.54668,0.35915,0.8399,0.00123094,0.00123094,0.00123094
9,95.1354,0.5104,0.33153,0.85614,0.94027,0.95182,0.9701,0.86232,0.52515,0.35651,0.83821,0.00120265,0.00120265,0.00120265
10,103.793,0.4881,0.31549,0.83226,0.92923,0.97882,0.97997,0.86808,0.51458,0.35283,0.83461,0.00117435,0.00117435,0.00117435
11,112.827,0.48192,0.31519,0.83854,0.93944,0.96646,0.97818,0.863,0.53805,0.36181,0.84142,0.00114606,0.00114606,0.00114606
12,121.712,0.51045,0.32483,0.84131,0.94331,0.96644,0.98163,0.86417,0.52891,0.33642,0.84008,0.00111776,0.00111776,0.00111776
13,130.323,0.48933,0.31515,0.84402,0.93182,0.96544,0.9708,0.85805,0.52673,0.35416,0.83543,0.00108947,0.00108947,0.00108947
14,139.136,0.48068,0.3167,0.84138,0.93547,0.97666,0.97407,0.86071,0.5361,0.3523,0.83882,0.00106118,0.00106118,0.00106118
15,148.611,0.49505,0.31686,0.84762,0.94676,0.96704,0.9777,0.86666,0.51691,0.33462,0.83524,0.00103288,0.00103288,0.00103288
16,158.024,0.50176,0.31414,0.84416,0.95044,0.96778,0.97926,0.86602,0.52774,0.31998,0.83463,0.00100459,0.00100459,0.00100459
17,166.811,0.48614,0.30485,0.83926,0.93663,0.97491,0.97482,0.86272,0.53248,0.32577,0.83315,0.000976293,0.000976293,0.000976293
18,175.28,0.47341,0.2965,0.84004,0.94125,0.98942,0.9687,0.85849,0.50441,0.33314,0.82756,0.000947999,0.000947999,0.000947999
19,184.827,0.47342,0.30539,0.84067,0.94322,0.97665,0.97303,0.85913,0.50692,0.33437,0.83108,0.000919704,0.000919704,0.000919704
20,193.473,0.46388,0.29742,0.83944,0.93981,0.97456,0.97929,0.85873,0.53755,0.34047,0.83776,0.00089141,0.00089141,0.00089141
