epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3123,1.2824,0.93638,1.13242,0.00105,0.00966,0.00057,0.00011,2.84302,5.74543,2.43662,0.000462724,0.000462724,0.000462724
2,30.8684,1.2202,0.86439,1.10604,0.82999,0.72218,0.78354,0.52813,1.3394,0.98033,1.17884,0.00084609,0.00084609,0.00084609
3,39.3818,1.23488,0.86036,1.09893,0.52064,0.518,0.46284,0.27285,1.73702,1.76765,1.4117,0.00113514,0.00113514,0.00113514
4,48.0693,1.18469,0.81588,1.10149,0.87016,0.79151,0.84321,0.58877,1.1587,0.83226,1.06351,0.00100459,0.00100459,0.00100459
5,56.2945,1.14004,0.79824,1.05588,0.19796,0.31741,0.22363,0.14134,2.26671,4.45589,1.73531,0.000863116,0.000863116,0.000863116
6,64.5342,1.08209,0.74239,1.03557,0.8552,0.80089,0.83723,0.60108,1.1156,0.76121,1.0467,0.000721645,0.000721645,0.000721645
7,73.1047,1.03506,0.67917,1.01805,0.82384,0.75085,0.79837,0.52556,1.3263,1.00358,1.18009,0.000580174,0.000580174,0.000580174
8,81.6936,1.01987,0.6585,1.00861,0.7968,0.65744,0.77161,0.53354,1.19793,1.05451,1.08138,0.000438703,0.000438703,0.000438703
9,90.0804,0.95748,0.62274,0.97254,0.92505,0.8638,0.90329,0.66191,1.07107,0.61365,1.03375,0.000297232,0.000297232,0.000297232
10,98.899,0.95712,0.6087,0.98064,0.89619,0.83468,0.87525,0.64253,1.09848,0.70819,1.04171,0.000155761,0.000155761,0.000155761
