epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2631,0.89586,0.61357,0.93876,0.9299,0.84203,0.91021,0.70826,0.86346,0.65804,0.9315,0.000462724,0.000462724,0.000462724
2,32.1323,0.74348,0.47537,0.88658,0.9493,0.90735,0.95904,0.7721,0.75651,0.48126,0.88963,0.00084609,0.00084609,0.00084609
3,41.7618,0.75016,0.46574,0.87514,0.95457,0.92572,0.96112,0.78835,0.72511,0.44864,0.88089,0.00113514,0.00113514,0.00113514
4,51.3575,0.71645,0.44844,0.8752,0.93254,0.95249,0.96444,0.77663,0.71779,0.43752,0.87447,0.00100459,0.00100459,0.00100459
5,60.7373,0.70539,0.43348,0.86304,0.94057,0.94317,0.95938,0.79322,0.68749,0.44995,0.87206,0.000863116,0.000863116,0.000863116
6,70.3173,0.67624,0.42989,0.85633,0.94054,0.96112,0.96608,0.7946,0.68651,0.41975,0.86746,0.000721645,0.000721645,0.000721645
7,80.029,0.65346,0.41866,0.86495,0.93747,0.93415,0.96659,0.81525,0.65505,0.4446,0.86119,0.000580174,0.000580174,0.000580174
8,89.6332,0.6361,0.40117,0.85402,0.93799,0.94853,0.97079,0.82098,0.6298,0.39511,0.85527,0.000438703,0.000438703,0.000438703
9,99.1212,0.62329,0.40246,0.8434,0.93936,0.96171,0.97184,0.83141,0.59945,0.36058,0.85307,0.000297232,0.000297232,0.000297232
10,108.778,0.62252,0.37837,0.85198,0.96009,0.94186,0.97272,0.83859,0.59206,0.36277,0.84942,0.000155761,0.000155761,0.000155761
