epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2537,2.53022,3.10786,2.01095,0.0044,0.1105,0.01264,0.00584,3.91767,4.63736,2.73961,0.000462724,0.000462724,0.000462724
2,31.1849,1.49688,1.27926,1.26602,0.55687,0.58562,0.58005,0.37908,1.44915,1.48466,1.23445,0.00084609,0.00084609,0.00084609
3,39.5172,1.31295,0.97799,1.1519,0.60248,0.60873,0.61868,0.37972,1.54206,1.39424,1.27845,0.00113514,0.00113514,0.00113514
4,47.9852,1.17137,0.85205,1.09698,0.65181,0.54433,0.60521,0.41759,1.46747,1.48089,1.22205,0.00100459,0.00100459,0.00100459
5,56.1392,1.11163,0.76358,1.03898,0.82819,0.66898,0.74306,0.51389,1.21794,0.85034,1.12594,0.000863116,0.000863116,0.000863116
6,64.4702,1.02268,0.71077,1.00199,0.75167,0.71123,0.75736,0.54804,1.11674,0.79743,1.04274,0.000721645,0.000721645,0.000721645
7,72.9855,0.98549,0.67702,0.99926,0.82579,0.7811,0.82263,0.60978,0.9997,0.64657,1.00107,0.000580174,0.000580174,0.000580174
8,81.5455,0.98524,0.65441,0.98656,0.81384,0.81384,0.84748,0.63375,0.95046,0.64529,0.97336,0.000438703,0.000438703,0.000438703
9,89.9839,0.94751,0.60893,0.96924,0.83297,0.83082,0.85643,0.64343,0.9318,0.59664,0.97041,0.000297232,0.000297232,0.000297232
10,98.4846,0.93576,0.60915,0.96839,0.86142,0.82073,0.8634,0.64971,0.93107,0.57549,0.97051,0.000155761,0.000155761,0.000155761
