epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.45297,0.60581,0.39807,0.86831,0.92754,0.9244,0.95469,0.82499,0.59528,0.46803,0.84699,0.000462724,0.000462724,0.000462724
2,19.1166,0.54305,0.3619,0.84871,0.94817,0.95782,0.97536,0.85713,0.562,0.36103,0.83862,0.00090187,0.00090187,0.00090187
3,28.5357,0.5437,0.36389,0.85627,0.94288,0.96451,0.96719,0.83699,0.57938,0.39381,0.84866,0.00130329,0.00130329,0.00130329
4,37.7778,0.55252,0.37011,0.84977,0.89053,0.95064,0.96865,0.83902,0.60022,0.44338,0.85109,0.00125923,0.00125923,0.00125923
5,47.2199,0.55689,0.38755,0.85604,0.9452,0.96125,0.96689,0.83029,0.57183,0.38379,0.84604,0.00120265,0.00120265,0.00120265
6,56.3112,0.55024,0.37064,0.85546,0.94948,0.96802,0.97192,0.84011,0.56872,0.37141,0.83891,0.00114606,0.00114606,0.00114606
7,65.5332,0.53312,0.36269,0.85205,0.94964,0.94349,0.97295,0.8412,0.56606,0.39662,0.84561,0.00108947,0.00108947,0.00108947
8,74.9018,0.52354,0.35259,0.84349,0.92364,0.97348,0.97799,0.85892,0.52047,0.357,0.82891,0.00103288,0.00103288,0.00103288
9,84.6657,0.51779,0.35466,0.85553,0.94945,0.96151,0.97772,0.84588,0.56056,0.36198,0.83833,0.000976293,0.000976293,0.000976293
10,93.8915,0.49987,0.33095,0.83407,0.94291,0.9748,0.97855,0.84649,0.56032,0.35986,0.83806,0.000919704,0.000919704,0.000919704
11,103.606,0.50724,0.33157,0.84114,0.9446,0.97645,0.97122,0.85207,0.53969,0.3519,0.83447,0.000863116,0.000863116,0.000863116
12,112.874,0.51193,0.33448,0.84106,0.93925,0.97677,0.97337,0.84829,0.54354,0.34116,0.8372,0.000806528,0.000806528,0.000806528
13,122.238,0.49953,0.325,0.84477,0.94753,0.97123,0.97087,0.86108,0.52621,0.34073,0.83197,0.000749939,0.000749939,0.000749939
14,131.723,0.48996,0.32837,0.84147,0.93762,0.96489,0.96953,0.86207,0.50379,0.32652,0.82492,0.000693351,0.000693351,0.000693351
15,141.208,0.48933,0.31916,0.84692,0.967,0.94504,0.97755,0.86914,0.51718,0.32254,0.82763,0.000636762,0.000636762,0.000636762
16,165.386,0.47224,0.29636,0.81215,0.94031,0.96763,0.96994,0.85836,0.52814,0.33374,0.82962,0.000580174,0.000580174,0.000580174
17,174,0.45928,0.29465,0.80035,0.93391,0.98051,0.97003,0.85374,0.53967,0.35013,0.8365,0.000523586,0.000523586,0.000523586
18,182.115,0.45471,0.28703,0.80714,0.93985,0.9741,0.97019,0.85467,0.52385,0.36129,0.83495,0.000466997,0.000466997,0.000466997
19,189.867,0.45332,0.27931,0.80911,0.938,0.97703,0.97943,0.85544,0.5419,0.33073,0.83427,0.000410409,0.000410409,0.000410409
20,197.939,0.448,0.2789,0.80012,0.92799,0.99145,0.97776,0.86668,0.51466,0.32343,0.83309,0.00035382,0.00035382,0.00035382
21,206.181,0.43875,0.27395,0.81026,0.93498,0.98637,0.97746,0.87465,0.50552,0.31239,0.83465,0.000297232,0.000297232,0.000297232
22,214.701,0.43498,0.26492,0.80478,0.93514,0.98758,0.97632,0.86871,0.50956,0.3169,0.8291,0.000240644,0.000240644,0.000240644
23,222.673,0.42483,0.26427,0.80259,0.94087,0.98498,0.9762,0.87101,0.50208,0.31046,0.83172,0.000184055,0.000184055,0.000184055
24,230.615,0.42234,0.25643,0.80614,0.95283,0.97804,0.97674,0.87475,0.50295,0.30261,0.83172,0.000127467,0.000127467,0.000127467
25,239.019,0.41986,0.24736,0.8002,0.95039,0.9784,0.98056,0.87801,0.50498,0.2986,0.83302,7.08784e-05,7.08784e-05,7.08784e-05
